,Time
0,-1614486873
1,1858152905
2,1456069803
3,2139692401
4,341325546
5,1394561449
6,1937296252
7,-1070904861
8,1564661166
9,2055780824
10,4
11,4
12,848
13,0
14,848
15,0
16,848
17,0
18,48
19,0
20,48
21,0
22,8
23,0
24,4
25,4
26,896
27,0
28,896
29,0
30,896
31,0
32,68
33,0
34,68
35,0
36,4
37,0
38,7
39,4
40,2181360
41,0
42,2185456
43,0
44,2185456
45,0
46,16
47,0
48,144
49,0
50,8
51,0
52,1685382483
53,4
54,848
55,0
56,848
57,0
58,848
59,0
60,48
61,0
62,48
63,0
64,8
65,0
66,1685382480
67,4
68,1982028
69,0
70,1982028
71,0
72,1982028
73,0
74,28876
75,0
76,28876
77,0
78,4
79,0
80,1685382481
81,6
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,16
93,0
94,1685382482
95,4
96,2181360
97,0
98,2185456
99,0
